permanent_id,title,brand,category,subcategory,price,volume,price_index,alcohol_content,country,url,thumbnail_url,image_url,rating,reviews,out_of_stock,description,is_buyable,stock_min,stock_max,stock_avg,stock_turnover_rate,total_annual_sales
28293,Tzounara Winery Agape Red Agirgitiko 2020,,Wine,Red Wine,24.95,750,0.26613333333333,12.5,Greece,https://www.lcbo.com/en/tzounara-winery-agape-red-agirgitiko-28293,https://aem.lcbo.com/content/dam/lcbo/products/0/2/8/2/028293.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/8/2/028293.jpg.thumb.1280.1280.png,,0,True,"Produced in Central Greece using the Agiorgitiko grape this wine shows plenty of ripe, sour red berries and gooseberry fruit. The flavours of strawberries are fresh on the palate with crisp acidity; medium bodied. Pairs well with vegetable casseroles or meat dishes.",1,0,440,336.4166666666667,2.9725043349021547,1000
28585,Calcu Winemaker's Selection Blend 2018,,Wine,Red Wine,34.25,750,0.32387706855792,14.1,Chile,https://www.lcbo.com/en/calcu-winemaker-s-selection-blend-28585,https://aem.lcbo.com/content/dam/lcbo/products/0/2/8/5/028585.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/8/5/028585.jpg.thumb.1280.1280.png,,0,False,"This year, the heart of this blend is a co-fermentation of 38% cabernet franc and 15% malbec planted in a gobelet system (a kind of small bush) on the granitic and clay soils of Marchigüe, on the western side of the Colchagua Valley. The rest is 25% carmenere, 18% cabernet sauvignon, and a bit of petit verdot. This wine is all structure. Slightly austere on the nose, the palate is dominated by severe tannins that are piercing, as is usual in Marchigüe. The flavors are ripe, lush, and succulent in a wine that's big and opulent enough to consider with pork ribs. Score - 93. (Patricio Tapia, guiadescorchados.cl, 2022)",1,74,382,240.25,2.8886576482830386,694
29130,R Wines Napa Valley Cabernet Sauvignon 2021,,Wine,Red Wine,106.0,750,0.97471264367816,14.5,United States,https://www.lcbo.com/en/r-wines-napa-valley-cabernet-sauvignon-2021-29130,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/1/029130.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/1/029130.jpg.thumb.1280.1280.png,,0,False,,1,54,117,85.75,2.542274052478134,218
29135,R Wines Chardonnay 2021,,Wine,White Wine,20.0,750,0.19047619047619,14.0,United States,https://www.lcbo.com/en/r-wines-chardonnay-2021-29135,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/1/029135.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/1/029135.jpg.thumb.1280.1280.png,,0,True,,1,0,641,435.75,2.6069994262765346,1136
29667,Stag's Leap Wine Cellars Cask 23 Cabernet Sauvignon 2019,,Wine,Red Wine,480.0,750,4.5714285714286,14.0,United States,https://www.lcbo.com/en/stag-s-leap-wine-cellars-cask-23-cabernet-sauvignon-29667,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/6/029667.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/6/029667.jpg.thumb.1280.1280.png,,0,False,"Deep purple-black in color, the 2019 Cask 23 Cabernet Sauvignon leaps with gregarious notes of warm cassis, black cherry compote and black raspberries, plus hints of rose oil, black pepper and underbrush, with touches of pencil lead and iron ore. Medium to full-bodied, the palate features a rock-solid backbone of firm, grainy tannins and bags of freshness supporting the crunchy black fruits, finishing long and minerally. Tasted as a barrel sample. Drink date: 2024-2044. Score - 94-96. (Lisa Perrotti-Brown, MW, robertparker.com, Nov. 30, 2021)",1,12,27,18.833333333333332,9.079646017699115,171
29895,Stag's Leap Wine Cellars Fay Cabernet Sauvignon 2019,,Wine,Red Wine,300.0,750,2.7586206896552,14.5,United States,https://www.lcbo.com/en/stag-s-leap-wine-cellars-fay-cabernet-sauvignon-29895,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/8/029895.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/8/029895.jpg.thumb.1280.1280.png,,0,False,"There's something so alluring and enticing about the Fay, named for Nathan Fay, who first planted Cabernet Sauvignon in what is now Stags Leap District back in 1961. It shows old-school dust, clove and graphite, with secondary hints of violet, sage and tree bark. Enjoy this wine best from 2029-2039. Cellar Selection. Score - 100. (Virginie Boone, Wine Enthusiast)",1,11,38,27.5,6.545454545454546,180
29899,Changyu Moser Helan Moutain Red Wine,,Wine,Red Wine,30.25,750,0.28809523809524,14.0,China,https://www.lcbo.com/en/changyu-moser-helan-moutain-red-wine-29899,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/8/029899.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/2/9/8/029899.jpg.thumb.1280.1280.png,,0,True,,1,0,412,282.0,2.517730496453901,710
30073,Thirty Bench Winemaker's Blend Cabernet Franc 2021,,Wine,Red Wine,26.95,750,0.26617283950617,13.5,Canada,https://www.lcbo.com/en/thirty-bench-winemaker-s-blend-cabernet-franc-30073,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/0/030073.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/0/030073.jpg.thumb.1280.1280.png,4.0,1,True,"This wine is 100% Cabernet Franc, which is a variety that did exceptionally well in Niagara's 2021 vintage. With dark plum, blackcurrant, blueberry, spice, savoury herbs, and gently incorporated oak, this is not a shy wine in any respect, but it carries its power with an easy elegance and sophistication. Drink through 2030+.",1,0,485,335.3333333333333,2.76441351888668,927
30180,Odem Mountain Winery Dry Red KP 2021,,Wine,Red Wine,52.8,750,0.50285714285714,14.0,Israel,https://www.lcbo.com/en/odem-mountain-winery-dry-red-kp-2021-30180,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/1/030180.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/1/030180.jpg.thumb.1280.1280.png,,0,False,Medium-bodied with bright red berry characters like cherry and raspberry layered over savoury notes of sage and wild thyme. Pair with creamy cheeses or starchy main courses.,1,112,257,172.75,2.402315484804631,415
30276,Choya Sparkling Wine,,Wine,Sparkling Wine,19.1,750,0.4630303030303,5.5,Germany,https://www.lcbo.com/en/choya-sparkling-wine-beverage-30276,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/2/030276.jpg.thumb.319.319.png,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/2/030276.jpg.thumb.1280.1280.png,,0,True,"This wine is made from 100% Japanese premium Nanko ume, which is a kind of Japanese apricot. It offers tangy citrus and peach tones.",1,0,618,458.6666666666667,2.9236918604651163,1341
